Date,Package,Title
6/5/20,msae,Multivariate Fay Herriot Models for Small Area Estimation
6/5/20,mwshiny,'Shiny' for Multiple Windows
6/5/20,newscatcheR,Programmatically Collect Normalized News from (Almost) Any Website
6/5/20,pairwise,Rasch Model Parameters by Pairwise Algorithm
6/5/20,probably,Tools for Post-Processing Class Probability Estimates
6/5/20,psychmeta,Psychometric Meta-Analysis Toolkit
6/5/20,rdrobust,Robust Data-Driven Statistical Inference in Regression-Discontinuity Designs
6/5/20,regmed,Regularized Mediation Analysis
6/5/20,Require,Installing and Loading R Packages for Reproducible Workflows
6/5/20,rpql,Regularized PQL for Joint Selection in GLMMs
6/5/20,rskey,Create Custom 'Rstudio' Keyboard Shortcuts
6/5/20,SIMMS,Subnetwork Integration for Multi-Modal Signatures
6/5/20,SISIR,Sparse Interval Sliced Inverse Regression
6/5/20,spant,MR Spectroscopy Analysis Tools
6/5/20,SQUAREM,Squared Extrapolation Methods for Accelerating EM-Like Monotone Algorithms
6/5/20,stringfish,Alt String Implementation
6/5/20,structree,Tree-Structured Clustering
6/5/20,tidycat,Expand Tidy Output for Categorical Parameter Estimates
6/5/20,transmem,Treatment of Membrane-Transport Data
6/5/20,TSVC,Tree-Structured Modelling of Varying Coefficients
6/5/20,vcfR,Manipulate and Visualize VCF Data
6/5/20,vctrs,Vector Helpers
6/5/20,WACS,Multivariate Weather-State Approach Conditionally Skew-Normal Generator
6/4/20,ArchaeoPhases.dataset,Data Sets for 'ArchaeoPhases' Vignettes
6/4/20,BGPhazard,Markov Beta and Gamma Processes for Modeling Hazard Rates
6/4/20,CAWaR,CAWa Project Tools
6/4/20,cobalt,Covariate Balance Tables and Plots
6/4/20,CollapseLevels,"Collapses Levels, Computes Information Value and WoE"
6/4/20,ComparisonCR,Comparison of Cumulative Incidence Between Two Groups Under Competing Risks
6/4/20,confintr,Confidence Intervals
6/4/20,corrgrapher,Explore Correlations Between Variables in a Machine Learning Model
6/4/20,dash,An Interface to the 'dash' Ecosystem for Authoring Reactive Web Applications
6/4/20,datasetsICR,"Datasets from the Book ""An Introduction to Clustering with R"""
6/4/20,dendRoAnalyst,A Complete Tool for Processing and Analyzing Dendrometer Data
6/4/20,dformula,Data Manipulation using Formula
6/4/20,diagis,Diagnostic Plot and Multivariate Summary Statistics of Weighted Samples from Importance Sampling
6/4/20,distill,'R Markdown' Format for Scientific and Technical Writing
6/4/20,DriveML,Self-Drive Machine Learning Projects
6/4/20,enviGCMS,GC/LC-MS Data Analysis for Environmental Science
6/4/20,envirem,Generation of ENVIREM Variables
6/4/20,EviewsR,'Eviews' Knit-Engine
6/4/20,fastlogranktest,A Fast Way to Calculate the p-Value of One or Multiple Log-Rank-Tests
6/4/20,fbst,The Full Bayesian Significance Test and the e-Value
6/4/20,fishbc,Fishes of British Columbia
6/4/20,gclm,Graphical Continuous Lyapunov Models
6/4/20,ggnuplot,Make 'ggplot2' Look Like 'gnuplot'
6/4/20,ggtext,Improved Text Rendering Support for 'ggplot2'
6/4/20,goric,Generalized Order-Restricted Information Criterion
6/4/20,grf,Generalized Random Forests
6/4/20,grizbayr,Bayesian Inference for A|B and Bandit Marketing Tests
6/4/20,heritEWAS,Identify Heritable Methylation Marks
6/4/20,ImpactEffectsize,Calculation and Visualization of the Impact Effect Size Measure
6/4/20,IndexNumber,Index Numbers in Social Sciences
6/4/20,ipa,Convert Between Phonetic Alphabets
6/4/20,iSTATS,A Graphical Interface to Perform STOCSY Analyses on NMR Data
6/4/20,jdx,'Java' Data Exchange for 'R' and 'rJava'
6/4/20,jsmodule,'RStudio' Addins and 'Shiny' Modules for Medical Research
6/4/20,jsr223,"A 'Java' Platform Integration for 'R' with Programming Languages 'Groovy', 'JavaScript', 'JRuby' ('Ruby'), 'Jython' ('Python'), and 'Kotlin'"
6/4/20,jstor,Read Data from JSTOR/DfR
6/4/20,krippendorffsalpha,Measuring Agreement Using Krippendorff's Alpha Coefficient
6/4/20,MachineShop,Machine Learning Models and Tools
6/4/20,mason,Build Data Structures for Common Statistical Analysis
6/4/20,mcmcOutput,"Functions to Store, Manipulate and Display Markov Chain Monte Carlo (MCMC) Output"
6/4/20,mcprofile,Testing Generalized Linear Hypotheses for Generalized Linear Model Parameters by Profile Deviance
6/4/20,MetGen,Stochastic Weather Generator
6/4/20,microseq,Basic Biological Sequence Handling
6/4/20,MIIVsem,Model Implied Instrumental Variable (MIIV) Estimation of Structural Equation Models
6/4/20,nametagger,Named Entity Recognition in Texts using 'NameTag'
6/4/20,neuromplex,Neural Multiplexing Analysis
6/4/20,nnTensor,Non-Negative Tensor Decomposition
6/4/20,nntrf,Supervised Data Transformation by Means of Neural Network Hidden Layers
6/4/20,oem,Orthogonalizing EM: Penalized Regression for Big Tall Data
6/4/20,pathfindR.data,Data Package for 'pathfindR'
6/4/20,pepr,Reading Portable Encapsulated Projects
6/4/20,plpoisson,Prediction Limits for Poisson Distribution
6/4/20,pmd,Paired Mass Distance Analysis for GC/LC-MS Based Non-Targeted Analysis
6/4/20,polyMatrix,Infrastructure for Manipulation Polynomial Matrices
6/4/20,r2dii.match,Tools to Match Financial Portfolios with Climate Data
6/4/20,raincin,Ranking with Incomplete Information
6/4/20,ratPASTA,Processing Acoustic Startle Experimental Data
6/4/20,regions,Processing Regional Statistics
6/4/20,rmdpartials,Partial 'rmarkdown' Documents to Prettify your Reports
6/4/20,rms,Regression Modeling Strategies
6/4/20,rNeighborQTL,Interval Mapping for Quantitative Trait Loci Underlying Neighbor Effects
6/4/20,rphylopic,Get 'Silhouettes' of 'Organisms' from 'Phylopic'
6/4/20,rrapply,Revisiting Base Rapply
6/4/20,rRofex,Interface to 'Matba Rofex' Trading API
6/4/20,rsample,General Resampling Infrastructure
6/4/20,rsyncrosim,The R Interface to 'SyncroSim'
6/4/20,rvmethod,Radial Velocity Method for Detecting Exoplanets
6/4/20,sasLM,'SAS' Linear Model
6/4/20,SBMSplitMerge,Inference for a Generalised SBM with a Split Merge Sampler
6/4/20,scipub,Summarize Data for Scientific Publication
6/4/20,sen2r,"Find, Download and Process Sentinel-2 Data"
6/4/20,sentencepiece,Text Tokenization using Byte Pair Encoding and Unigram Modelling
6/4/20,showtextdb,Font Files for the 'showtext' Package
6/4/20,spatialEco,Spatial Analysis and Modelling Utilities
6/4/20,spatstat.sparse,Sparse Three-Dimensional Arrays and Linear Algebra Utilities
6/4/20,starnet,Stacked Elastic Net
6/4/20,survRM2perm,Permutation Test for Comparing Restricted Mean Survival Time
6/4/20,synfd,Synthesize Dense or Sparse Functional Data/Snippets
6/4/20,tidyrules,Obtain Rules from Rule Based Models as Tidy Dataframe
6/4/20,tsfknn,Time Series Forecasting Using Nearest Neighbors
6/4/20,tsibble,Tidy Temporal Data Frames and Tools
6/4/20,tsibbledata,Diverse Datasets for 'tsibble'
6/4/20,utile.tools,Summarize Data for Publication
6/4/20,visreg,Visualization of Regression Models
6/4/20,volcano3D,Interactive Plotting of Three-Way Differential Expression Analysis
6/4/20,whitestrap,White Test and Bootstrapped White Test for Heteroskedasticity
6/4/20,word2vec,Distributed Representations of Words
6/3/20,Andromeda,Asynchronous Disk-Based Representation of Massive Data
6/3/20,ape,Analyses of Phylogenetics and Evolution
6/3/20,assignR,Infer Geographic Origin from Isotopic Data
6/3/20,btb,Beyond the Border - Kernel Density Estimation for Urban Geography
6/3/20,cartograflow,Filtering Matrix for Flow Mapping
6/3/20,CausalQueries,"Make, Update, and Query Binary Causal Models"
6/3/20,cffdrs,Canadian Forest Fire Danger Rating System
6/3/20,climate,Interface to Download Meteorological (and Hydrological) Datasets
6/3/20,concorR,CONCOR and Supplemental Functions
6/3/20,contourPlot,"Plots x,y,z Co-Ordinates in a Contour Map"
6/3/20,czechrates,Czech Interest Rates
6/3/20,dispRity,Measuring Disparity
6/3/20,DIZutils,Utilities for 'DIZ' R Package Development
6/3/20,dmm,Dyadic Mixed Model for Pedigree Data
6/3/20,docxtools,Tools for R Markdown to Docx Documents
6/3/20,DrInsight,Drug Repurposing: Integration and Systematic Investigation of Genomic High Throughput Data
6/3/20,emayili,Send Email Messages
6/3/20,EvaluateCore,Quality Evaluation of Core Collections
6/3/20,ezcox,Easily Process a Batch of Cox Models
6/3/20,farrell,Interactive Interface to Data Envelopment Analysis Modeling
6/3/20,fungible,Psychometric Functions from the Waller Lab
6/3/20,geomorph,Geometric Morphometric Analyses of 2D/3D Landmark Data
6/3/20,geouy,Geographic Information of Uruguay
6/3/20,gif,Graphical Independence Filtering
6/3/20,grpCox,Penalized Cox Model for High-Dimensional Data with Grouped Predictors
6/3/20,ibmAcousticR,Connect to Your IBM 'Acoustic' Data with 'R'
6/3/20,idiogramFISH,Idiograms with Marks and Karyotype Indices
6/3/20,ipumsr,Read 'IPUMS' Extract Files
6/3/20,js,Tools for Working with JavaScript in R
6/3/20,labsimplex,Simplex Optimization Algorithms for Laboratory and Manufacturing Processes
6/3/20,lcmm,Extended Mixed Models Using Latent Classes and Latent Processes
6/3/20,LexisNexisTools,Working with Files from 'LexisNexis'
6/3/20,littler,R at the Command-Line via 'r'
6/3/20,macleish,Retrieve Data from MacLeish Field Station
6/3/20,mangoTraining,Mango Solutions Training Datasets
6/3/20,mcvis,Multi-Collinearity Visualization
6/3/20,mlr3misc,Helper Functions for 'mlr3'
6/3/20,MMRcaseselection,Case Classification and Selection Based on Regression Results
6/3/20,modeltests,Testing Infrastructure for Broom Model Generics
6/3/20,move,Visualizing and Analyzing Animal Track Data
6/3/20,mvSLOUCH,Multivariate Stochastic Linear Ornstein-Uhlenbeck Models for Phylogenetic Comparative Hypotheses
6/3/20,neonUtilities,Utilities for Working with NEON Data
6/3/20,nls.multstart,Robust Non-Linear Regression using AIC Scores
6/3/20,NonProbEst,Estimation in Nonprobability Sampling
6/3/20,officedown,Enhanced 'R Markdown' Format for 'Word' and 'PowerPoint'
6/3/20,pinfsc50,"Sequence ('FASTA'), Annotation ('GFF') and Variants ('VCF') for 17 Samples of 'P. Infestans"" and 1 'P. Mirabilis'"
6/3/20,pivmet,Pivotal Methods for Bayesian Relabelling and k-Means Clustering
6/3/20,ptvapi,Access the 'Public Transport Victoria' Timetable API
6/3/20,QCA,Qualitative Comparative Analysis
6/3/20,r2dii.data,Datasets to Align Financial Markets with Climate Goals
6/3/20,revss,Robust Estimation in Very Small Samples
6/3/20,RMaCzek,Czekanowski's Diagrams
6/3/20,roxytest,Various Tests with 'roxygen2'
6/3/20,rscorecard,A Method to Download Department of Education College Scorecard Data
6/3/20,rsleep,Analysis of Sleep Data
6/3/20,rsMove,Guidelines for the use of Remote Sensing in Movement Ecology
6/3/20,saqgetr,Import Air Quality Monitoring Data in a Fast and Easy Way
6/3/20,sizeMat,Estimate Size at Sexual Maturity
6/3/20,strider,Strided Iterator and Range
6/3/20,synthesisr,"Import, Assemble, and Deduplicate Bibliographic Datasets"
6/3/20,testassay,A Hypothesis Testing Framework for Validating an Assay for Precision
6/3/20,UCSCXenaShiny,A Shiny App for UCSC Xena Database
6/3/20,vennLasso,Variable Selection for Heterogeneous Populations
6/3/20,wikipediatrend,Public Subject Attention via Wikipedia Page View Statistics
6/2/20,AzureQstor,Interface to 'Azure Queue Storage'
6/2/20,biganalytics,Utilities for 'big.matrix' Objects from Package 'bigmemory'
6/2/20,bootnet,Bootstrap Methods for Various Network Estimation Routines
6/2/20,bst,Gradient Boosting
6/2/20,cepR,Busca CEPs Brasileiros
6/2/20,CIMTx,Causal Inference for Multiple Treatments with a Binary Outcome
6/2/20,contact,Creating Contact and Social Networks
6/2/20,CornerstoneR,Collection of Scripts for Interface Between 'Cornerstone' and 'R'
6/2/20,DDD,Diversity-Dependent Diversification
6/2/20,ddpcr,Analysis and Visualization of Droplet Digital PCR in R and on the Web
6/2/20,Dict,R6 Based Key-Value Dictionary Implementation
6/2/20,DisImpact,Calculates Disproportionate Impact When Binary Success Data are Disaggregated by Subgroups
6/2/20,DLMtool,Data-Limited Methods Toolkit
6/2/20,drake,A Pipeline Toolkit for Reproducible Computation at Scale
6/2/20,easyr,Helpful Functions from Oliver Wyman Actuarial Consulting
6/2/20,etl,Extract-Transform-Load Framework for Medium Data
6/2/20,eventstudies,Event Study Analysis
6/2/20,fieldRS,Remote Sensing Field Work Tools
6/2/20,gambin,Fit the Gambin Model to Species Abundance Distributions
6/2/20,GE,General Equilibrium Modeling
6/2/20,geiger,Analysis of Evolutionary Diversification
6/2/20,geoknife,Web-Processing of Large Gridded Datasets
6/2/20,ggedit,Interactive 'ggplot2' Layer and Theme Aesthetic Editor
6/2/20,GNSSseg,Homogenization of GNSS Series
6/2/20,gtsummary,Presentation-Ready Data Summary and Analytic Result Tables
6/2/20,hesim,Health-Economic Simulation Modeling and Decision Analysis
6/2/20,ICSS,ICSS Algorithm by Inclan/Tiao (1994)
6/2/20,ie2misc,Irucka Embry's Miscellaneous USGS Functions
6/2/20,IndexConstruction,Index Construction for Time Series Data
6/2/20,install.load,"Check, Install and Load CRAN & USGS GRAN Packages"
6/2/20,isqg,In Silico Quantitative Genetics
6/2/20,jmvcore,Dependencies for the 'jamovi' Framework
6/2/20,jsonify,Convert Between 'R' Objects and Javascript Object Notation (JSON)
6/2/20,jstable,Create Tables from Different Types of Regression
6/2/20,keyATM,Keyword Assisted Topic Model
6/2/20,KMgene,Gene-Based Association Analysis for Complex Traits
6/2/20,LHD,Latin Hypercube Designs (LHDs) Algorithms
6/2/20,LPKsample,LP Nonparametric High Dimensional K-Sample Comparison
6/2/20,metaBMA,Bayesian Model Averaging for Random and Fixed Effects Meta-Analysis
6/2/20,MetaLandSim,Landscape and Range Expansion Simulation
6/2/20,mindicador,Indicadores Economicos de Chile (Economic Outlook for Chile)
6/2/20,mixAK,Multivariate Normal Mixture Models and Mixtures of Generalized Linear Mixed Models Including Model Based Clustering
6/2/20,mlr3,Machine Learning in R - Next Generation
6/2/20,mlxR,Simulation of Longitudinal Data
6/2/20,mnormt,"The Multivariate Normal and t Distributions, and Their Truncated Versions"
6/2/20,moko,Multi-Objective Kriging Optimization
6/2/20,mrf2d,Markov Random Field Models for Image Analysis
6/2/20,MSRDT,Multi-State Reliability Demonstration Tests (MSRDT)
6/2/20,multinet,Analysis and Mining of Multilayer Social Networks
6/2/20,nprcgenekeepr,Genetic Tools for Colony Management
6/2/20,oceanis,Cartography for Statistical Analysis
6/2/20,omicwas,Cell-Type-Specific Association Testing in Bulk Omics Experiments
6/2/20,Pade,Padé Approximant Coefficients
6/2/20,pccc,Pediatric Complex Chronic Conditions
6/2/20,poppr,Genetic Analysis of Populations with Mixed Reproduction
6/2/20,postHoc,Tools for Post-Hoc Analysis
6/2/20,precisely,Estimate Sample Size Based on Precision Rather than Power
6/2/20,ptinpoly,Point-in-Polyhedron Test (2D and 3D)
6/2/20,pubh,A Toolbox for Public Health and Epidemiology
6/2/20,r3PG,Simulating Forest Growth using the 3-PG Model
6/2/20,Rdca,DCA Tools for Decline Rate Analysis and EUR Forecast
6/2/20,riverdist,River Network Distance Computation and Applications
6/2/20,rlas,Read and Write 'las' and 'laz' Binary File Formats Used for Remote Sensing Data
6/2/20,rodeo,A Code Generator for ODE-Based Models
6/2/20,rollmatch,Rolling Entry Matching
6/2/20,rsyntax,Extract Semantic Relations from Text by Querying and Reshaping Syntax
6/2/20,safedata,Interface to Data from the SAFE Project
6/2/20,SAPP,Statistical Analysis of Point Processes
6/2/20,sensitivity,Global Sensitivity Analysis of Model Outputs
6/2/20,shinySearchbar,Shiny Searchbar - An Input Widget for Highlighting Text and More
6/2/20,shipunov,Miscellaneous Functions from Alexey Shipunov
6/2/20,simplevis,Simple Visualisation with 'ggplot2' and 'leaflet' Wrappers
6/2/20,skynet,Generates Networks from BTS Data
6/2/20,spTDyn,Spatially Varying and Spatio-Temporal Dynamic Linear Models
6/2/20,spTimer,Spatio-Temporal Bayesian Modelling
6/2/20,StratigrapheR,Integrated Stratigraphy
6/2/20,tfaddons,Interface to 'TensorFlow SIG Addons'
6/2/20,vpc,Create Visual Predictive Checks
6/2/20,wrGraph,Graphics in the Context of Analyzing High-Throughput Data
6/1/20,aws.signature,Amazon Web Services Request Signatures
6/1/20,bimets,Time Series and Econometric Modeling
6/1/20,blocksdesign,Nested and Crossed Block Designs for Factorial and Unstructured Treatment Sets
6/1/20,bujar,Buckley-James Regression for Survival Data with High-Dimensional Covariates
6/1/20,clean,Fast and Easy Data Cleaning
6/1/20,cleaner,Fast and Easy Data Cleaning
6/1/20,collections,High Performance Container Data Types
6/1/20,DecomposeR,Empirical Mode Decomposition for Cyclostratigraphy
6/1/20,Delaporte,Statistical Functions for the Delaporte Distribution
6/1/20,Evapotranspiration,"Modelling Actual, Potential and Reference Crop Evapotranspiration"
6/1/20,FKF,Fast Kalman Filter
6/1/20,ggpmisc,Miscellaneous Extensions to 'ggplot2'
6/1/20,haven,"Import and Export 'SPSS', 'Stata' and 'SAS' Files"
6/1/20,hexSticker,Create Hexagon Sticker in R
6/1/20,malariaAtlas,"An R Interface to Open-Access Malaria Data, Hosted by the 'Malaria Atlas Project'"
6/1/20,mpath,Regularized Linear Models
6/1/20,mrbin,"Magnetic Resonance Binning, Integration and Normalization"
6/1/20,phytools,Phylogenetic Tools for Comparative Biology (and Other Things)
6/1/20,PKNCA,Perform Pharmacokinetic Non-Compartmental Analysis
6/1/20,sergeant,Tools to Transform and Query Data with Apache Drill
6/1/20,shinyWidgets,Custom Inputs Widgets for Shiny
6/1/20,sigminer,"Extract, Analyze and Visualize Signatures for Genomic Variations"
6/1/20,smoothedLasso,Smoothed LASSO Regression via Nesterov Smoothing
6/1/20,smoothSurv,Survival Regression with Smoothed Error Distribution
6/1/20,tadaatoolbox,Helpers for Data Analysis and Presentation Focused on Undergrad Psychology
6/1/20,tidyRSS,Tidy RSS for R
6/1/20,Umpire,Simulating Realistic Gene Expression and Clinical Data
5/31/20,AmpGram,Prediction of Antimicrobial Peptides
5/31/20,bayesanova,Bayesian Inference in the Analysis of Variance via Markov Chain Monte Carlo in Gaussian Mixture Models
5/31/20,bayest,Effect Size Targeted Bayesian Two-Sample t-Tests via Markov Chain Monte Carlo in Gaussian Mixture Models
5/31/20,bbsBayes,Hierarchical Bayesian Analysis of North American BBS Data
5/31/20,BGGM,Bayesian Gaussian Graphical Models
5/31/20,Disequilibrium,Disequilibrium Models
5/31/20,EMSS,Some EM-Type Estimation Methods for the Heckman Selection Model
5/31/20,europepmc,R Interface to the Europe PubMed Central RESTful Web Service
5/31/20,ggasym,Asymmetric Matrix Plotting in 'ggplot2'
5/31/20,glmm,Generalized Linear Mixed Models via Monte Carlo Likelihood Approximation
5/31/20,GMSE,Generalised Management Strategy Evaluation Simulator
5/31/20,GNAR,Methods for Fitting Network Time Series Models
5/31/20,gratia,Graceful 'ggplot'-Based Graphics and Other Functions for GAMs Fitted Using 'mgcv'
5/31/20,icd,Comorbidity Calculations and Tools for ICD-9 and ICD-10 Codes
5/31/20,ipmisc,Miscellaneous Functions for Data Cleaning and Analysis
5/31/20,lessR,"Less Code, More Results"
5/31/20,loon.data,Data Used to Illustrate 'Loon' Functionality
5/31/20,MatTransMix,Clustering with Matrix Gaussian and Matrix Transformation Mixture Models
5/31/20,MCMCpack,Markov Chain Monte Carlo (MCMC) Package
5/31/20,pbixr,Access Data and Metadata from 'Microsoft' 'Power BI' Documents
5/31/20,PINSPlus,Clustering Algorithm for Data Integration and Disease Subtyping
5/31/20,quantilogram,Cross-Quantilogram
5/31/20,RDFTensor,Different Tensor Factorization (Decomposition) Techniques for RDF Tensors (Three-Mode-Tensors)
5/31/20,rmarkdown,Dynamic Documents for R
5/31/20,Rmixmod,Classification with Mixture Modelling
5/31/20,robotstxt,A 'robots.txt' Parser and 'Webbot'/'Spider'/'Crawler' Permissions Checker
5/31/20,sars,Fit and Compare Species-Area Relationship Models Using Multimodel Inference
5/31/20,spmoran,Moran Eigenvector-Based Scalable Spatial Additive Mixed Modeling
5/31/20,sundialr,An Interface to 'SUNDIALS' Ordinary Differential Equation (ODE) Solvers
5/31/20,taxlist,Handling Taxonomic Lists
5/31/20,tidyjson,Tidy Complex 'JSON'
5/31/20,timetk,A Tool Kit for Working with Time Series in R
5/31/20,TreeBUGS,Hierarchical Multinomial Processing Tree Modeling
5/31/20,TwitterAutomatedTrading,Automated Trading Using Tweets
5/31/20,ukpolice,Download Data on UK Police and Crime
5/31/20,universals,S3 Generics for Bayesian Analyses
5/31/20,volesti,Volume Approximation and Sampling of Convex Polytopes
5/30/20,akima,Interpolation of Irregularly and Regularly Spaced Data
5/30/20,Brq,Bayesian Analysis of Quantile Regression Models
5/30/20,drat,'Drat' R Archive Template
5/30/20,exiftoolr,ExifTool Functionality from R
5/30/20,FrF2,Fractional Factorial Designs with 2-Level Factors
5/30/20,ggstatsplot,'ggplot2' Based Plots with Statistical Details
5/30/20,glca,Latent Class Analysis with Grouped Data
5/30/20,influenceAUC,Identify Influential Observations in Binary Classification
5/30/20,MrSGUIDE,Multiple Responses Subgroup Identification using 'GUIDE' Algorithm
5/30/20,OCA,Optimal Capital Allocations
5/30/20,pmdplyr,'dplyr' Extension for Common Panel Data Maneuvers
5/30/20,spaMM,"Mixed-Effect Models, Particularly Spatial Models"
5/30/20,spiderbar,Parse and Test Robots Exclusion Protocol Files and Rules
5/30/20,SWMPrExtension,Functions for Analyzing and Plotting Estuary Monitoring Data
5/30/20,tripack,Triangulation of Irregularly Spaced Data
5/30/20,worcs,Workflow for Open Reproducible Code in Science
5/29/20,ArchaeoPhases,"Post-Processing of the Markov Chain Simulated by 'ChronoModel', 'Oxcal' or 'BCal'"
5/29/20,bioassays,Summarising Multi Well Plate Cellular Assay
5/29/20,bioimagetools,Tools for Microscopy Imaging
5/29/20,chk,Check User-Supplied Function Arguments
5/29/20,copula,Multivariate Dependence with Copulas
5/29/20,covglasso,Sparse Covariance Matrix Estimation
5/29/20,cvms,Cross-Validation for Model Selection
5/29/20,DCPO,Dynamic Comparative Public Opinion
5/29/20,DirichletReg,Dirichlet Regression in R
5/29/20,dmdScheme,Domain Specific MetaData Scheme
5/29/20,dplyr,A Grammar of Data Manipulation
5/29/20,EpiEstim,Estimate Time Varying Reproduction Numbers from Epidemic Curves
5/29/20,fresh,Create Custom 'Bootstrap' Themes to Use in 'Shiny'
5/29/20,gcKrig,Analysis of Geostatistical Count Data using Gaussian Copulas
5/29/20,groupedstats,Grouped Statistical Analyses in a Tidy Way
5/29/20,hyperSpec,"Work with Hyperspectral Data, i.e. Spectra + Meta Information (Spatial, Time, Concentration, ...)"
5/29/20,lotri,"A Simple Way to Specify Symmetric, Block Diagonal Matrices"
5/29/20,matsbyname,An Implementation of Matrix Mathematics
5/29/20,MortCast,Estimation and Projection of Age-Specific Mortality Rates
5/29/20,nimbleEcology,Distributions for Ecological Models in 'nimble'
5/29/20,nucim,Nucleome Imaging Toolbox
5/29/20,pairwiseComparisons,Multiple Pairwise Comparison Tests
5/29/20,pkgload,Simulate Package Installation and Attach
5/29/20,projects,A Project Infrastructure for Researchers
5/29/20,qad,Quantification of Asymmetric Dependence
5/29/20,rbiom,"Read/Write, Transform, and Summarize 'BIOM' Data"
5/29/20,restatapi,Search and Retrieve Data from Eurostat Database
5/29/20,rfacebookstat,Load Data from Facebook API Marketing
5/29/20,runes,Convert Strings to Elder Futhark Runes
5/29/20,synthACS,Synthetic Microdata and Spatial MicroSimulation Modeling for ACS Data
5/29/20,texreg,Conversion of R Regression Output to LaTeX or HTML Tables
5/29/20,tidytable,Tidy Interface to 'data.table'
